Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
SYK,Stryker Corporation,205.66,$76.94B,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/syk
MSC,Studio City International Holdings Limited,20.01,$1.57B,2018,Consumer Services,Hotels/Resorts,https://www.nasdaq.com/symbol/msc
RGR,"Sturm, Ruger & Company, Inc.",45.18,$789.99M,n/a,Capital Goods,Ordnance And Accessories,https://www.nasdaq.com/symbol/rgr
SPH,"Suburban Propane Partners, L.P.",23.24,$1.43B,1996,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/sph
SMFG,Sumitomo Mitsui Financial Group Inc,6.78,$46.67B,n/a,Finance,Commercial Banks,https://www.nasdaq.com/symbol/smfg
INN,"Summit Hotel Properties, Inc.",11.17,$1.17B,2011,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/inn
INN^D,"Summit Hotel Properties, Inc.",26.1757,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/inn^d
INN^E,"Summit Hotel Properties, Inc.",25.52,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/inn^e
SUM,"Summit Materials, Inc.",18.99,$2.13B,2015,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/sum
SMLP,"Summit Midstream Partners, LP",7.52,$621.87M,2012,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/smlp
SUI,"Sun Communities, Inc.",133.1,$12.07B,1993,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/sui
SLF,Sun Life Financial Inc.,38.93,$23.05B,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/slf
SXC,"SunCoke Energy, Inc.",6.71,$612.01M,2011,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/sxc
SU,Suncor Energy  Inc.,27.64,$43.3B,n/a,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/su
STG,Sunlands Technology Group,2.28,$389.9M,2018,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/stg
NOVA,Sunnova Energy International Inc.,10.81,$898.48M,2019,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/nova
SUN,Sunoco LP,31.64,$2.62B,2012,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/sun
